# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Web Edition
# File: D:\大二下\数电\数电实验\数电实验6\migration.csv
# Generated on: Fri May 28 10:58:44 2021

,No Migration
Pin Number,Pin Function,I/O Bank,VREF Group
PIN_A1,GND,,
PIN_A2,TEMPDIODEp,,
PIN_A3,VCCIO4,4,
PIN_A4,Dedicated Programming,4,B4_N0
PIN_A5,Column I/O,4,B4_N1
PIN_A6,Column I/O,4,B4_N1
PIN_A7,Column I/O,4,B4_N1
PIN_A8,Column I/O,4,B4_N1
PIN_A9,GND,,
PIN_A10,Column I/O,9,B4_N1
PIN_A11,VCCIO4,4,
PIN_A12,VCCIO3,3,
PIN_A13,Column I/O,3,B3_N0
PIN_A14,GND,,
PIN_A15,Column I/O,3,B3_N0
PIN_A16,Column I/O,3,B3_N0
PIN_A17,Column I/O,3,B3_N0
PIN_A18,Column I/O,3,B3_N0
PIN_A19,Column I/O,3,B3_N1
PIN_A20,VCCIO3,3,
PIN_A21,Dedicated Programming,3,B3_N1
PIN_A22,GND,,
PIN_AA1,VCCIO6,6,
PIN_AA2,GND,,
PIN_AA3,Dedicated Programming,7,
PIN_AA4,Column I/O,7,B7_N1
PIN_AA5,Column I/O,7,B7_N0
PIN_AA6,Column I/O,7,B7_N0
PIN_AA7,Column I/O,7,B7_N0
PIN_AA8,Column I/O,7,B7_N0
PIN_AA9,Column I/O,10,B7_N0
PIN_AA10,Column I/O,10,B7_N0
PIN_AA11,Column I/O,7,B7_N0
PIN_AA12,Column I/O,8,B8_N1
PIN_AA13,Column I/O,8,B8_N1
PIN_AA14,VREFB8N1,8,B8_N1
PIN_AA15,Column I/O,8,B8_N1
PIN_AA16,Column I/O,8,B8_N1
PIN_AA17,Column I/O,8,B8_N1
PIN_AA18,Column I/O,8,B8_N1
PIN_AA19,JTAG,8,B8_N0
PIN_AA20,JTAG,8,B8_N0
PIN_AA21,GND,,
PIN_AA22,VCCIO1,1,
PIN_AB1,GND,,
PIN_AB2,Dedicated Programming,7,B7_N1
PIN_AB3,VCCIO7,7,
PIN_AB4,GND,,
PIN_AB5,Column I/O,7,B7_N0
PIN_AB6,Column I/O,7,B7_N0
PIN_AB7,Column I/O,7,B7_N0
PIN_AB8,Column I/O,7,B7_N0
PIN_AB9,GND,,
PIN_AB10,Column I/O,10,B7_N0
PIN_AB11,VCCIO7,7,
PIN_AB12,VCCIO8,8,
PIN_AB13,Column I/O,8,B8_N1
PIN_AB14,GND,,
PIN_AB15,Column I/O,8,B8_N1
PIN_AB16,Column I/O,8,B8_N1
PIN_AB17,Column I/O,8,B8_N1
PIN_AB18,Column I/O,8,B8_N1
PIN_AB19,JTAG,8,B8_N0
PIN_AB20,VCCIO8,8,
PIN_AB21,JTAG,8,B8_N0
PIN_AB22,GND,,
PIN_B1,VCCIO5,5,
PIN_B2,GND,,
PIN_B3,JTAG,4,
PIN_B4,Dedicated Programming,4,B4_N0
PIN_B5,Column I/O,4,B4_N1
PIN_B6,Column I/O,4,B4_N1
PIN_B7,Column I/O,4,B4_N1
PIN_B8,Column I/O,4,B4_N1
PIN_B9,Column I/O,9,B4_N1
PIN_B10,Column I/O,9,B4_N1
PIN_B11,Column I/O,4,B4_N1
PIN_B12,Column I/O,4,B4_N1
PIN_B13,Column I/O,3,B3_N0
PIN_B14,VREFB3N0,3,B3_N0
PIN_B15,Column I/O,3,B3_N0
PIN_B16,Column I/O,3,B3_N0
PIN_B17,Column I/O,3,B3_N0
PIN_B18,Column I/O,3,B3_N0
PIN_B19,Column I/O,3,B3_N1
PIN_B20,Dedicated Programming,3,B3_N1
PIN_B21,GND,,
PIN_B22,VCCIO2,2,
PIN_C1,Row I/O,5,B5_N1
PIN_C2,Row I/O,5,B5_N1
PIN_C3,TEMPDIODEn,,
PIN_C4,Column I/O,4,B4_N0
PIN_C5,Column I/O,4,B4_N1
PIN_C6,Column I/O,4,B4_N1
PIN_C7,Column I/O,4,B4_N1
PIN_C8,Column I/O,4,B4_N1
PIN_C9,Column I/O,9,B4_N1
PIN_C10,Column I/O,9,B4_N1
PIN_C11,Column I/O,4,B4_N1
PIN_C12,Column I/O,4,B4_N1
PIN_C13,Column I/O,3,B3_N0
PIN_C14,Column I/O,3,B3_N0
PIN_C15,Column I/O,3,B3_N0
PIN_C16,Column I/O,3,B3_N0
PIN_C17,Column I/O,3,B3_N0
PIN_C18,Column I/O,3,B3_N0
PIN_C19,Column I/O,3,B3_N1
PIN_C20,Dedicated Programming,3,B3_N1
PIN_C21,Row I/O,2,B2_N0
PIN_C22,Row I/O,2,B2_N0
PIN_D1,Row I/O,5,B5_N1
PIN_D2,Row I/O,5,B5_N1
PIN_D3,Column I/O,4,B4_N0
PIN_D4,Dedicated Programming,4,B4_N0
PIN_D5,Column I/O,4,B4_N0
PIN_D6,Column I/O,4,B4_N0
PIN_D7,VREFB4N0,4,B4_N0
PIN_D8,Column I/O,4,B4_N0
PIN_D9,VREFB4N1,4,B4_N1
PIN_D10,Column I/O,9,B4_N1
PIN_D11,Column I/O,3,B3_N0
PIN_D12,Column I/O,3,B3_N0
PIN_D13,Column I/O,3,B3_N0
PIN_D14,Column I/O,3,B3_N0
PIN_D15,Column I/O,3,B3_N1
PIN_D16,VREFB3N1,3,B3_N1
PIN_D17,Column I/O,3,B3_N1
PIN_D18,Column I/O,3,B3_N1
PIN_D19,Dedicated Programming,3,B3_N1
PIN_D20,Column I/O,3,B3_N1
PIN_D21,Row I/O,2,B2_N0
PIN_D22,Row I/O,2,B2_N0
PIN_E1,Row I/O,5,B5_N1
PIN_E2,Row I/O,5,B5_N1
PIN_E3,Row I/O,5,B5_N1
PIN_E4,Row I/O,5,B5_N1
PIN_E5,Dedicated Programming,4,B4_N0
PIN_E6,Column I/O,4,B4_N0
PIN_E7,Column I/O,4,B4_N0
PIN_E8,Column I/O,4,B4_N0
PIN_E9,Column I/O,4,B4_N0
PIN_E10,Column I/O,4,B4_N1
PIN_E11,Column I/O,3,B3_N0
PIN_E12,Column I/O,3,B3_N0
PIN_E13,Column I/O,3,B3_N0
PIN_E14,Column I/O,3,B3_N1
PIN_E15,Column I/O,3,B3_N1
PIN_E16,Column I/O,3,B3_N1
PIN_E17,Column I/O,3,B3_N1
PIN_E18,Column I/O,3,B3_N1
PIN_E19,Row I/O,2,B2_N0
PIN_E20,Row I/O,2,B2_N0
PIN_E21,Row I/O,2,B2_N0
PIN_E22,Row I/O,2,B2_N0
PIN_F1,Row I/O,5,B5_N1
PIN_F2,Row I/O,5,B5_N1
PIN_F3,VREFB5N1,5,B5_N1
PIN_F4,Row I/O,5,B5_N1
PIN_F5,Row I/O,5,B5_N1
PIN_F6,Column I/O,4,B4_N0
PIN_F7,Column I/O,4,B4_N0
PIN_F8,Column I/O,4,B4_N0
PIN_F9,Column I/O,4,B4_N0
PIN_F10,GNDA_PLL5,,
PIN_F11,GNDA_PLL5,,
PIN_F12,VCCA_PLL5,,
PIN_F13,Column I/O,3,B3_N0
PIN_F14,Column I/O,3,B3_N1
PIN_F15,Column I/O,3,B3_N1
PIN_F16,Column I/O,3,B3_N1
PIN_F17,Column I/O,3,B3_N1
PIN_F18,VREFB2N0,2,B2_N0
PIN_F19,Row I/O,2,B2_N0
PIN_F20,Row I/O,2,B2_N0
PIN_F21,Row I/O,2,B2_N0
PIN_F22,Row I/O,2,B2_N0
PIN_G1,Row I/O,5,B5_N0
PIN_G2,Row I/O,5,B5_N0
PIN_G3,Row I/O,5,B5_N1
PIN_G4,Row I/O,5,B5_N1
PIN_G5,Row I/O,5,B5_N1
PIN_G6,Row I/O,5,B5_N1
PIN_G7,Column I/O,4,B4_N0
PIN_G8,Column I/O,4,B4_N0
PIN_G9,Column I/O,4,B4_N0
PIN_G10,VCC_PLL5_OUT,9,
PIN_G11,VCCD_PLL5,,
PIN_G12,Column I/O,3,B3_N0
PIN_G13,Column I/O,3,B3_N0
PIN_G14,Column I/O,3,B3_N1
PIN_G15,Column I/O,3,B3_N1
PIN_G16,Column I/O,3,B3_N1
PIN_G17,Row I/O,2,B2_N0
PIN_G18,Row I/O,2,B2_N0
PIN_G19,Row I/O,2,B2_N0
PIN_G20,Row I/O,2,B2_N0
PIN_G21,Row I/O,2,B2_N1
PIN_G22,Row I/O,2,B2_N1
PIN_H1,Row I/O,5,B5_N0
PIN_H2,Row I/O,5,B5_N0
PIN_H3,Row I/O,5,B5_N1
PIN_H4,Row I/O,5,B5_N1
PIN_H5,Row I/O,5,B5_N0
PIN_H6,Row I/O,5,B5_N0
PIN_H7,Column I/O,4,B4_N0
PIN_H8,VCCINT,,
PIN_H9,Column I/O,4,B4_N0
PIN_H10,VCCPD4,,
PIN_H11,Column I/O,3,B3_N0
PIN_H12,Column I/O,3,B3_N0
PIN_H13,VCCPD3,,
PIN_H14,Column I/O,3,B3_N1
PIN_H15,GND,,
PIN_H16,Column I/O,3,B3_N1
PIN_H17,Row I/O,2,B2_N0
PIN_H18,Row I/O,2,B2_N0
PIN_H19,Row I/O,2,B2_N0
PIN_H20,Row I/O,2,B2_N0
PIN_H21,Row I/O,2,B2_N1
